desc,tipo,timestamp,pos,profundidad,temp_agua,sal,fluor,conductividad,temp_aire,humedad,pres_atmos,vel_med_viento
"Lanzamos un CTD 5000","Equipo al Agua","2020-12-23 20:38:00.000000","20.9191392N 27.2900362W",5235.7,24.0213,36.9825,0.019536,54.6752,22.0181,64.6008,1024.24,3.53888
"Lanzamos el primer pie","Equipo al Agua","2021-04-02 09:23:00.000000","18.5649667S 10.1197417W",2910.4,25.4525,36.5566,0.547009,55.6662,24.3451,76.3588,1027.4,10.5596
"Lanzamos el segundo pie","Equipo al Agua","2021-04-09 12:24:00.000000","6.4994417N 18.6365533W",4834.6,29.914,34.2328,0.739927,57.1422,24.3451,77.1003,1022.14,4.4548
"Recogemos todos los pies","Equipo a bordo","2021-04-09 12:24:00.000000","6.4994417N 18.6365533W",4834.6,29.914,34.2328,0.739927,57.1422,24.3451,77.1003,1022.14,4.4548
